,product_name,ratings,Prices,description
150,APPLE iPad Air (4th Gen) 64 GB ROM 10.9 inch with Wi-Fi Only (Sky Blue),4.7,"Rs 49,900","Stunning 10.9-inch Liquid Retina display with True Tone and P3 wide colorA14 Bionic chip with Neural EngineTouch ID for secure authentication and Apple Pay12MP back camera, 7MP FaceTime HD front cameraAvailable in silver, space gray, rose gold, green, and sky blueWide stereo audioWi-Fi 6 (802.11ax) and Gigabit-class LTE cellular dataUp to 10 hours of battery lifeUSB-C connector for charging and accessoriesSupport for Magic Keyboard, Smart Keyboard Folio, and Apple Pencil (2nd generation)iPadOS 14 brings new capabilities designed specifically for iPad64 GB ROM27.69 cm (10.9 inch) Full HD Display12 MP Primary Camera | 7 MP FrontiPadOS 14 | Battery: Lithium PolymerProcessor: A14 Bionic Chip (64‑bit Architecture) with Neural Engine1 Year Limited Hardware Warranty"
151,APPLE iPad (9th Gen) 256 GB ROM 10.2 inch with Wi-Fi+5G (Silver),4.7,"Rs 52,900",256 GB ROM25.91 cm (10.2 inch) Display8 MP Primary Camera | 12 MP FrontiOS 15 | Battery: Lithium PolymerProcessor: A13 Bionic Chip with 64-bit Architecture1 Year Warranty
152,APPLE iPad Air (4th Gen) 64 GB ROM 10.9 inch with Wi-Fi Only (Silver),3.8,"Rs 49,900","Stunning 10.9-inch Liquid Retina display with True Tone and P3 wide colorA14 Bionic chip with Neural EngineTouch ID for secure authentication and Apple Pay12MP back camera, 7MP FaceTime HD front cameraAvailable in silver, space gray, rose gold, green, and sky blueWide stereo audioWi-Fi 6 (802.11ax) and Gigabit-class LTE cellular dataUp to 10 hours of battery lifeUSB-C connector for charging and accessoriesSupport for Magic Keyboard, Smart Keyboard Folio, and Apple Pencil (2nd generation)iPadOS 14 brings new capabilities designed specifically for iPad64 GB ROM27.69 cm (10.9 inch) Full HD Display12 MP Primary Camera | 7 MP FrontiPadOS 14 | Battery: Lithium PolymerProcessor: A14 Bionic Chip (64‑bit Architecture) with Neural Engine1 Year Limited Hardware Warranty"
153,APPLE iPad Air (4th Gen) 256 GB ROM 10.9 inch with Wi-Fi Only (Silver),3.8,"Rs 63,900","Stunning 10.9-inch Liquid Retina display with True Tone and P3 wide colorA14 Bionic chip with Neural EngineTouch ID for secure authentication and Apple Pay12MP back camera, 7MP FaceTime HD front cameraAvailable in silver, space gray, rose gold, green, and sky blueWide stereo audioWi-Fi 6 (802.11ax) and Gigabit-class LTE cellular dataUp to 10 hours of battery lifeUSB-C connector for charging and accessoriesSupport for Magic Keyboard, Smart Keyboard Folio, and Apple Pencil (2nd generation)iPadOS 14 brings new capabilities designed specifically for iPad256 GB ROM27.69 cm (10.9 inch) Full HD Display12 MP Primary Camera | 7 MP FrontiPadOS 14 | Battery: Lithium PolymerProcessor: A14 Bionic Chip (64‑bit Architecture) with Neural Engine1 Year Limited Hardware Warranty"
154,"Swipe Strike8 3 GB RAM 32 GB ROM 8 inch with Wi-Fi+4G Tablet (Grey, GRAY)",4.7,"Rs 9,999","3 GB RAM | 32 GB ROM | Expandable Upto 128 GB20.32 cm (8 inch) HD Display8 MP Primary Camera | 5 MP FrontAndroid 11 | Battery: 5000 mAh Lithium-IonIdeal Usage: Entertainment, Gaming, Reading and Browsing, For Kids, BusinessVoice Call (Dual Sim, GSM/WCDMA/FDDLTE/TDD LTE/TD-SCDMA , B1 (2100), B3 (1800), B5 (850), B8 (900), B40 (TDD 2300), B41 (TDD 2500))Processor: 2.0 GHz Ultra Fast Octacore Processor Unisoc T618)12 months brand warranty and 6 months on accessories"
155,Swipe Strike8 3 GB RAM 32 GB ROM 8 inch with Wi-Fi+4G Tablet (Glacier Blue),4.6,"Rs 9,999","3 GB RAM | 32 GB ROM | Expandable Upto 256 GB20.32 cm (8 inch) HD Display8 MP Primary Camera | 5 MP FrontAndroid 11 | Battery: 5000 mAh Lithium-IonIdeal Usage: Entertainment, Business, Reading and Browsing, For Kids, GamingVoice Call (Dual Sim, GSM/WCDMA/FDDLTE/TDD LTE/TD-SCDMA , B1 (2100), B3 (1800), B5 (850), B8 (900), B40 (TDD 2300), B41 (TDD 2500))Processor: 2.0 GHz Ultra Fast Octacore Processor (Unisoc T618)12 months brand warranty and 6 months on accessories"
156,SAMSUNG Galaxy Tab S8+ With Stylus 8 GB RAM 128 GB ROM 12.4 inch with Wi-Fi+5G Tablet (Silver),4.7,"Rs 86,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB31.5 cm (12.4 inch) Full HD Display13 MP Primary Camera | 12 MP FrontAndroid 12 | Battery: 10090 mAhVoice Call (Single Sim)Processor: Octa-Core1 Year Manufacturer Warranty for Tablet and 6 Months Warranty for in the Box Accessories
157,APPLE iPad Air (5th gen) 64 GB ROM 10.9 Inch with Wi-Fi Only (Space Grey),4.6,"Rs 53,900",64 GB ROM27.69 cm (10.9 Inch) Display12 MP Primary Camera | 12 MP FrontiPadOS 15 | Battery: Lithium PolymerProcessor: Apple M1 Chip1 Year warranty
158,APPLE iPad Air (4th Gen) 64 GB ROM 10.9 inch with Wi-Fi Only (Rose Gold),4.7,"Rs 49,900","Stunning 10.9-inch Liquid Retina display with True Tone and P3 wide colorA14 Bionic chip with Neural EngineTouch ID for secure authentication and Apple Pay12MP back camera, 7MP FaceTime HD front cameraAvailable in silver, space gray, rose gold, green, and sky blueWide stereo audioWi-Fi 6 (802.11ax) and Gigabit-class LTE cellular dataUp to 10 hours of battery lifeUSB-C connector for charging and accessoriesSupport for Magic Keyboard, Smart Keyboard Folio, and Apple Pencil (2nd generation)iPadOS 14 brings new capabilities designed specifically for iPad64 GB ROM27.69 cm (10.9 inch) Full HD Display12 MP Primary Camera | 7 MP FrontiPadOS 14 | Battery: Lithium PolymerProcessor: A14 Bionic Chip (64‑bit Architecture) with Neural Engine1 Year Limited Hardware Warranty"
159,APPLE iPad Air (5th gen) 64 GB ROM 10.9 Inch with Wi-Fi+5G (Blue),4.6,"Rs 68,900",64 GB ROM27.69 cm (10.9 Inch) Display12 MP Primary Camera | 12 MP FrontiPadOS 15 | Battery: Lithium PolymerVoice Call (Single Sim)Processor: Apple M1 chip1 Year Warranty
